station,day,max_temp_f,min_temp_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,max_wind_speed_kts
PHX,2000-05-28,110.0,79.0,0.0,5.125348,268.7814,10.9732,20.921284,40.6355,13.0
PHX,2000-05-29,110.0,80.0,0.0,6.2144847,263.8335,10.0624,17.199669,30.6346,13.0
PHX,2000-05-30,107.0,78.0,0.0,5.8077993,261.36307,8.35975,17.279697,31.8974,12.0
PHX,2000-05-31,103.0,81.0,0.0,5.122563,238.29062,12.0814,20.07704,30.3299,11.0
PHX,2000-06-01,103.0,78.0,0.0,4.367688,244.74031,12.2962,20.676836,32.5302,10.0
PHX,2000-06-02,103.0,79.0,0.0,5.208914,274.14972,8.7685,18.770842,32.5302,10.0
PHX,2000-06-03,105.0,76.0,0.0,5.0027857,269.1715,7.91216,14.125205,28.002,11.0
PHX,2000-06-04,106.0,75.0,0.0,4.339833,158.19972,7.87501,12.209753,26.1045,10.0
PHX,2000-06-05,108.0,78.0,0.0,4.7548747,245.06125,7.84091,11.146111,18.4865,9.0
PHX,2000-06-06,109.0,82.0,0.0,5.083565,161.27432,9.13037,17.72247,31.5416,11.0
PHX,2000-06-07,109.0,81.0,0.0,6.8941503,252.13316,9.024,15.941084,24.9027,12.0
PHX,2000-06-08,100.0,85.0,0.0,8.557103,248.06912,16.3305,24.741604,34.7325,17.0
PHX,2000-06-09,93.0,73.0,0.0,5.9860725,284.14664,16.7764,23.583466,35.3565,12.0
PHX,2000-06-10,95.0,72.0,0.0,4.805014,270.1976,12.494,18.683863,29.2433,10.0
PHX,2000-06-11,100.0,73.0,0.0,4.417827,140.93712,10.0765,17.347473,31.4324,10.0
PHX,2000-06-12,104.0,75.0,0.0,4.671309,278.371,10.8104,15.296394,25.202,9.0
PHX,2000-06-13,107.0,77.0,0.0,6.0083566,261.02335,8.53428,15.47906,29.7181,15.0
PHX,2000-06-14,109.0,80.0,0.0,7.2618384,245.05688,10.6,16.057083,29.3161,16.0
PHX,2000-06-15,109.0,82.0,0.0,6.5097494,242.3004,13.7117,19.598383,28.3035,17.0
PHX,2000-06-16,107.0,83.0,0.0,6.45961,253.1842,17.2942,23.82102,36.7931,14.0
PHX,2000-06-17,104.0,83.0,0.0,7.2123957,247.37022,25.5364,34.17797,46.4831,20.0
PHX,2000-06-18,101.0,84.0,0.0,7.086351,197.5126,26.9674,35.76209,44.5858,14.0
PHX,2000-06-19,101.0,82.0,0.0,7.3844013,207.07301,25.9477,36.941296,52.7537,20.0
PHX,2000-06-20,98.0,77.0,0.15,5.7583566,127.488014,32.517,50.168568,73.9485,26.0
PHX,2000-06-21,102.0,75.0,0.0,3.426184,198.4129,17.9487,36.50592,64.3036,9.0
PHX,2000-06-22,91.0,77.0,0.15,4.867688,150.98846,30.0511,45.302025,64.0289,11.0
PHX,2000-06-23,100.0,74.0,0.0,6.1002784,198.551,23.2405,44.20024,70.8797,12.0
PHX,2000-06-24,102.0,77.0,0.0,6.250696,277.81516,15.4594,35.433514,59.7392,11.0
PHX,2000-06-25,106.0,81.0,0.0,5.3064065,266.13507,14.7981,26.974043,47.3902,13.0
PHX,2000-06-26,107.0,82.0,0.0,5.707521,271.74893,16.8892,22.11428,31.8934,11.0
PHX,2000-06-27,106.0,90.0,0.0,7.0027857,260.24988,19.1891,25.200619,33.4372,14.0
PHX,2000-06-28,103.0,79.0,0.01,8.286908,135.48927,24.2938,41.076878,71.3899,23.0
PHX,2000-06-29,101.0,77.0,0.03,4.62117,40.576298,25.253,46.20499,81.922,12.0
PHX,2000-06-30,102.0,82.0,0.0,5.8412256,176.68428,23.5191,39.22196,56.7175,10.0
PHX,2000-07-01,103.0,84.0,0.0,6.2033424,220.58244,21.3524,35.15109,51.4025,11.0
PHX,2000-07-02,105.0,83.0,0.0,5.044568,264.63306,10.8104,27.86647,54.6256,9.0
PHX,2000-07-03,105.0,82.0,0.0,7.122563,242.44594,10.6103,24.650742,47.3902,10.0
PHX,2000-07-04,104.0,78.0,0.0,4.8885794,243.8525,8.41708,15.468267,28.6751,9.0
PHX,2000-07-05,105.0,77.0,0.0,4.5543175,297.24332,8.54854,14.547404,24.1725,11.0
PHX,2000-07-06,102.0,78.0,0.0,5.1699166,277.6221,11.4716,21.48394,33.6452,12.0
PHX,2000-07-07,100.0,76.0,0.23,6.66156,245.11522,20.7763,32.311573,78.9629,20.0
PHX,2000-07-08,99.0,77.0,0.0,5.735376,167.0272,23.0158,44.9306,71.1909,11.0
PHX,2000-07-09,103.0,81.0,0.0,4.7437325,233.89444,10.54,19.489685,27.9262,10.0
PHX,2000-07-10,101.0,80.0,0.0,3.54039,200.70117,11.2144,16.214865,23.0158,9.0
PHX,2000-07-11,106.0,84.0,0.0,4.2896934,316.695,10.54,16.309132,25.7904,7.0
PHX,2000-07-12,106.0,80.0,0.0,5.0862617,275.29956,9.45968,14.561448,27.1903,9.0
PHX,2000-07-13,104.0,85.0,0.0,5.477707,272.76254,11.4716,18.387564,26.8437,10.0
PHX,2000-07-14,105.0,85.0,0.0,4.7253523,213.12035,14.7713,19.839514,29.3675,8.0
PHX,2000-07-15,107.0,84.0,0.0,6.33121,248.94481,17.8384,25.158129,37.2146,11.0
PHX,2000-07-16,107.0,86.0,0.0,5.8494983,276.1935,14.7713,25.225145,41.7143,11.0
PHX,2000-07-17,108.0,83.0,0.0,4.6133723,269.02176,11.5956,18.781292,34.3201,9.0
PHX,2000-07-18,113.0,81.0,0.0,5.1070232,267.9894,8.79064,15.643922,31.5416,10.0
PHX,2000-07-19,113.0,84.0,0.0,5.38535,268.28015,5.33639,12.1226425,21.4173,10.0
PHX,2000-07-20,111.0,86.0,0.0,6.2420382,268.4464,9.49766,17.076385,28.4766,13.0
PHX,2000-07-21,106.0,88.0,0.0,6.7579618,267.2686,19.4635,29.298243,41.9124,13.0
PHX,2000-07-22,105.0,88.0,0.0,5.8908453,288.09726,20.6394,27.971434,39.1666,9.0
PHX,2000-07-23,109.0,88.0,0.0,6.5232344,147.07819,16.3129,27.144976,39.4689,17.0
PHX,2000-07-24,111.0,90.0,0.0,5.7056856,236.55266,12.7569,20.516005,34.2222,11.0
PHX,2000-07-25,111.0,89.0,0.0,6.094225,287.07977,10.0075,20.155466,33.9195,10.0
PHX,2000-07-26,111.0,89.0,0.0,5.2675586,265.52094,14.3057,20.05019,29.5033,9.0
PHX,2000-07-27,110.0,91.0,0.0,6.0923567,251.35115,13.7117,22.007849,34.2222,11.0
PHX,2000-07-28,112.0,89.0,0.0,10.047619,259.95563,12.5431,22.167145,36.7931,20.0
PHX,2000-07-29,106.0,87.0,0.0,5.4312267,329.06677,14.7981,23.744396,39.0815,11.0
PHX,2000-07-30,108.0,78.0,0.04,7.3761396,114.069374,16.3129,26.081297,61.5844,33.0
PHX,2000-07-31,106.0,79.0,0.01,4.0623083,74.10969,17.9951,34.93881,58.3966,13.0
PHX,2000-08-01,108.0,85.0,0.0,6.31307,279.49933,19.2041,32.61631,49.6623,15.0
PHX,2000-08-02,108.0,86.0,0.0,6.3525834,262.9673,18.11,28.66369,42.0151,12.0
PHX,2000-08-03,109.0,88.0,0.0001,8.519622,254.9475,16.5318,25.084333,36.3548,22.0
PHX,2000-08-04,110.0,88.0,0.0,6.4645667,276.08893,16.7749,27.14709,43.40243,13.0
PHX,2000-08-05,112.0,87.0,0.0001,7.2866244,270.83237,15.1228,26.759836,48.2631,25.0
PHX,2000-08-06,103.0,85.0,0.0,7.270517,257.2354,25.4076,36.6627,49.6623,14.0
PHX,2000-08-07,101.0,80.0,0.0001,6.3035116,279.59195,27.0983,39.410786,69.3207,13.0
PHX,2000-08-08,97.0,78.0,0.0001,5.823708,216.79858,29.5956,50.70726,78.621,12.0
PHX,2000-08-09,105.0,83.0,0.0,5.0955415,133.5446,21.3145,33.951267,49.2195,13.0
PHX,2000-08-10,106.0,87.0,0.0,5.5752506,123.070435,22.3167,32.136387,45.044,13.0
PHX,2000-08-11,107.0,86.0,0.0001,10.082827,122.67031,23.1937,35.590626,51.2356,17.0
PHX,2000-08-12,102.0,84.0,0.0,4.53169,84.035614,25.4076,39.19163,58.6546,8.0
PHX,2000-08-13,107.0,87.0,0.0,5.880435,252.13867,21.7307,35.352695,46.4831,21.0
PHX,2000-08-14,107.0,85.0,0.0,5.3125,209.52966,20.2387,31.930693,47.974,10.0
PHX,2000-08-15,106.0,87.0,0.0,6.671309,263.89435,20.9053,30.641441,43.3689,14.0
PHX,2000-08-16,110.0,89.0,0.0,5.4528875,275.61642,17.7724,26.405714,39.4689,10.0
PHX,2000-08-17,103.0,76.0,0.2,8.738602,249.37434,26.2334,38.080467,83.3239,22.0
